Country,ISO3166,MCC MNC,MNO,RAT,Bands (Main),Plan,Support,Supported Features,Date
Sweden,SWE,24008,Telenor,LTE-M,B20,planX3,Guaranteed,PSM and eDRX | SMS,04/23/2024
Sweden,SWE,24001,Telia,LTE-M,B3 | B20,plan01s,Guaranteed,SMS,09/13/2024
Sweden,SWE,24001,Telia,LTE-M,B3 | B20,planX3,Guaranteed,PSM and eDRX | SMS,06/10/2024
Sweden,SWE,24001,Telia,LTE-M,B3 | B20,planP1,Validated,SMS,06/10/2024
Sweden,SWE,24002,3,LTE-M,B20,plan01s,Validated,PSM and eDRX | SMS,10/31/2024
Sweden,SWE,24002,3,LTE-M,B20,planP1,Validated,PSM and eDRX | SMS,10/31/2024
Switzerland,CHE,22801,Swisscom,LTE-M,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,06/10/2024
Switzerland,CHE,22802,Sunrise,LTE-M,B20,plan01s,Guaranteed,PSM and eDRX | SMS,10/07/2024
Switzerland,CHE,22802,Sunrise,LTE-M,B20,planX3,Validated,SMS,01/05/2024
Taiwan,TWN,46692,Chunghwa Telecom,LTE-M,B3,plan01s,Guaranteed,PSM* and eDRX | SMS,06/10/2024
Taiwan,TWN,46692,Chunghwa Telecom,LTE-M,B3,planX3,Guaranteed,PSM* and eDRX | SMS,06/10/2024
Taiwan,TWN,46601,FarEasTone,LTE-M,B28,planP1,Validated,PSM* and eDRX | SMS,02/13/2025
Taiwan,TWN,46605,,LTE-M,B28,plan01s,Expected,,
Turkey,TUR,28601,Turkcell,LTE-M,B20,plan01s,Guaranteed,SMS,11/08/2024
Turkey,TUR,28602,Vodafone,LTE-M,B20,plan01s,Validated,SMS,11/28/2024
United Arab Emirates,ARE,42402,Etisalat,LTE-M,B20,plan01s,Validated,SMS,01/30/2024
United Kingdom,GBR,23410,O2,LTE-M,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,06/24/2024
United Kingdom,GBR,23415,Vodafone,LTE-M,B20,planX3,Validated,SMS,06/06/2024
United Kingdom,GBR,23415,Vodafone,LTE-M,B20,plan01s,Guaranteed,SMS,01/20/2025
Uruguay,URY,74801,Antel,LTE-M,B28,plan01s,Validated,PSM and eDRX | SMS,04/30/2024
Uruguay,URY,74807,Movistar,LTE-M,B28,plan01s,Validated,PSM* | SMS,01/20/2025
Uruguay,URY,74810,Claro,LTE-M,B28,plan01s,Validated,SMS,04/30/2024
United States,USA,310410,AT&T,LTE-M,B2 | B4 | B12 (B17),plan01s,Guaranteed,PSM and eDRX | SMS,06/06/2024
United States,USA,310410,AT&T,LTE-M,B2 | B4 | B12 (B17),plan-NA1,Guaranteed,PSM and eDRX | SMS,06/06/2024
United States,USA,310410,AT&T,LTE-M,B2 | B4 | B12 (B17),planP1,Validated,PSM and eDRX | SMS,06/06/2024
United States,USA,310410,AT&T,LTE-M,B2 | B4 | B12 (B17),plan-US-max,Guaranteed,PSM and eDRX | SMS,01/12/2024
United States,USA,310410,AT&T,LTE-M,B2 | B4 | B12 (B17),planX3,Guaranteed,PSM and eDRX | SMS,06/06/2024
United States,USA,310260,T-Mobile,LTE-M,B2 | B4 | B12 (B17) | B66 | B71,plan01s,Guaranteed,PSM* and eDRX | SMS,06/06/2024
United States,USA,310260,T-Mobile,LTE-M,B2 | B4 | B12 (B17) | B66 | B71,plan-NA1,Guaranteed,PSM* and eDRX | SMS,06/06/2024
United States,USA,310260,T-Mobile,LTE-M,B2 | B4 | B12 (B17) | B66 | B71,planP1,Validated,SMS,01/16/2024
United States,USA,310260,T-Mobile,LTE-M,B2 | B4 | B12 (B17) | B66 | B71,plan-US-NA,Validated,SMS,01/16/2024
United States,USA,310260,T-Mobile,LTE-M,B2 | B4 | B12 (B17) | B66 | B71,plan-US-max,Validated,SMS,08/06/2024
United States,USA,310260,T-Mobile,LTE-M,B2 | B4 | B12 (B17) | B66 | B71,planX3,Validated,SMS,04/15/2024
United States,USA,311588,US Cellular,LTE-M,B2 | B5 | B12,planUS,Guaranteed,PSM* and eDRX | SMS,07/04/2024
United States,USA,311480,Verizon,LTE-M,B13,plan-US-max,Validated,SMS,09/19/2024
